               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.3716,              5.2406,              5.3404,           0.0063185,            0.044248,           0.0045362,           0.0017206,                   0,                   0,                   0,            0.070024,           0.0033307,           0.0033307
                   1,              4.4324,              5.0281,              5.1688,            0.011198,            0.019324,           0.0061612,           0.0022888,                   0,                   0,                   0,            0.039892,            0.006532,            0.006532
                   2,              4.0823,              4.3326,              4.4709,            0.010883,             0.23183,           0.0094227,           0.0033041,                   0,                   0,                   0,           0.0096282,           0.0096014,           0.0096014
                   3,              2.9571,              3.6666,              3.5635,              0.1532,             0.18272,             0.10296,            0.028351,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   4,              2.4807,              3.2525,              3.0371,             0.25506,             0.33397,             0.20131,             0.10391,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   5,              2.2577,              2.9859,              2.7624,             0.35477,             0.38789,              0.2653,             0.15042,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                   6,              2.1205,              2.8118,              2.6271,             0.39137,             0.50855,             0.33985,              0.2051,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   7,              2.0376,              2.6587,              2.5317,             0.42853,             0.56681,             0.37453,             0.18225,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   8,              1.9703,              2.5528,              2.4514,             0.44751,             0.61467,              0.4074,             0.25934,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                   9,              1.9049,              2.4309,              2.3824,             0.45293,             0.59958,             0.44121,             0.26277,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  10,              1.8721,              2.3769,              2.3463,             0.51236,             0.61253,             0.51489,             0.33091,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  11,              1.8294,              2.2942,              2.2989,             0.48004,             0.61442,             0.49736,             0.30556,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  12,              1.8068,              2.2345,              2.2777,             0.52561,             0.63633,             0.53123,             0.35267,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  13,              1.7728,              2.1879,              2.2405,             0.54221,             0.63768,             0.55504,             0.37252,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
